"id","name","created_at","updated_at"
"1","BANK BRI",NULL,NULL
"2","BANK MANDIRI",NULL,NULL
"3","BANK BNI",NULL,NULL
"4","BANK DANAMON",NULL,NULL
"5","BANK PERMATA",NULL,NULL
"6","BANK BCA",NULL,NULL
"7","BANK BII",NULL,NULL
"8","BANK PANIN",NULL,NULL
"9","BANK CIMB NIAGA",NULL,NULL
"10","BANK LIPPO",NULL,NULL
"11","BANK NISP",NULL,NULL
"12","BANK CITY",NULL,NULL
"13","BANK JP MORGAN",NULL,NULL
"14","BANK ARTHA GRAHA",NULL,NULL
"15","BANK BANGKOK",NULL,NULL
"16","BANK HSBC",NULL,NULL
"17","BANK OF TOKYO MITSUBISHI",NULL,NULL
"18","BANK SUMITOMO MITSUI IND",NULL,NULL
"19","BANK DBS",NULL,NULL
"20","BANK MIZUHO",NULL,NULL
"21","BANK STANDARD CHARTERED",NULL,NULL
"22","BANK ABN AMRO",NULL,NULL
"23","ANZ PANIN",NULL,NULL
"24","BANK DEUTSCHE",NULL,NULL
"25","BANK RABO",NULL,NULL
"26","BANK JABAR BANTEN",NULL,NULL
"27","BANK DKI",NULL,NULL
"28","BANK DI YOGYAKARTA",NULL,NULL
"29","BANK JATENG",NULL,NULL
"30","BANK JAWA TIMUR",NULL,NULL
"31","BANK JAMBI",NULL,NULL
"32","Bank Jambi",NULL,NULL
"33","BANK BPD ACEH",NULL,NULL
"34","BANK BPD ACEH",NULL,NULL
"35","BANK SUMUT",NULL,NULL
"36","BANK NAGARI",NULL,NULL
"37","BANK RIAU",NULL,NULL
"38","BANK SUMSEL BABEL",NULL,NULL
"39","BANK SUMSEL BABEL",NULL,NULL
"40","BANK LAMPUNG",NULL,NULL
"41","BANK KALSEL",NULL,NULL
"42","BANK KALBAR",NULL,NULL
"43","BANK KALTIM SYARIAH",NULL,NULL
"44","BANK KALTIM",NULL,NULL
"45","BANK KALTENG",NULL,NULL
"46","BANK SULSELBAR",NULL,NULL
"47","BANK SULUT",NULL,NULL
"48","BANK NTB SYARIAH",NULL,NULL
"49","BANK NTB",NULL,NULL
"50","BPD BALI",NULL,NULL
"51","BANK NTT",NULL,NULL
"52","BANK MALUKU",NULL,NULL
"53","BANK PAPUA",NULL,NULL
"54","BANK BENGKULU",NULL,NULL
"55","BANK SULTENG",NULL,NULL
"56","BANK SULTRA",NULL,NULL
"57","BANK MUAMALAT INDONESIA",NULL,NULL
"58","BANK SINAR MAS",NULL,NULL
"59","BANK TABUNGAN NEGARA",NULL,NULL
"60","BANK TABUNGAN NEGARA",NULL,NULL
"61","BTPN",NULL,NULL
"62","BANK OF AMERICA",NULL,NULL
"63","BRI Syariah",NULL,NULL
"64","BANK MEGA",NULL,NULL
"65","BANK BNI SYARIAH",NULL,NULL
"66","BANK BUKOPIN",NULL,NULL
"67","BANK SYARIAH INDONESIA",NULL,NULL
"68","BANK HANA",NULL,NULL
"69","BRI Agro",NULL,NULL
"70","BANK MEGA",NULL,NULL
"71","BANK MEGA SYARIAH",NULL,NULL
"72","PANIN DUBAI SYARIAH",NULL,NULL
"73","Bukopin Syariah",NULL,NULL
"74","BTPN Syariah",NULL,NULL
"75","Mayora",NULL,NULL
"76","BANK BRI Cab. Manna",NULL,NULL
"78","BNI Syariah",NULL,NULL
"79","BJB Syariah",NULL,NULL
"80","BANK CHINA TRUST",NULL,NULL
"81","BANK COMMONWEALTH",NULL,NULL
"82","Bank LN",NULL,NULL
